"Pirámides de población de 1910 a 2050\nEstados Unidos Mexicanos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente:,"INEGI. Censos y conteos de población y vivienda, 1910-2010.",,,,,,,,,,,,,Estimaciones del CONAPO. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hombres,1910,1921,1930,1940,1950,1960,1970,1980,1990,1995,2000,2005,2010,2015,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0 a 4,1336403,946303,1268968,1448488,1999878,2936387,4151517,4698512,5160002,5449356,5401306,5175913,5346943,4692465,4573889,4547111,4518520,4487863,4454791,4418807,4379770,4338222,4294895,4250225,4204241,4157011,4109048,4061032,4013424,3966424,3920183,3875023,3831309,3789335,3749324,3711342,3675283,3640966,3608285,3577232,3547720,3519419,3491938,3464982,3438374
5 a 9,1102308,939840,1168736,1441081,1865138,2705910,3934729,5172923,5338285,5515644,5677711,5339127,5604175,4710624,4559968,4537052,4515136,4493098,4470161,4445895,4420078,4392493,4362896,4330949,4296163,4258398,4218176,4176215,4132935,4088374,4042593,3996093,3949525,3903345,3857751,3812891,3769075,3726654,3685916,3647083,3610224,3575231,3541931,3510212,3480075
10 a 14,816343,935035,882039,1246808,1599781,2234496,3271115,4574675,5230658,5404261,5435737,5545910,5547613,5041441,4573857,4538684,4507625,4479034,4452706,4428667,4406591,4385474,4364221,4342072,4318623,4293671,4266997,4238356,4207413,4173703,4137094,4098099,4057415,4015447,3972228,3927817,3882704,3837528,3792728,3748495,3704966,3662449,3621290,3581769,3544099
15 a 19,717982,727792,792389,969506,1248617,1738831,2491047,3766688,4759892,5022243,4909648,4995906,5520121,5182810,4746954,4593365,4479648,4400021,4347126,4308459,4275669,4246671,4219983,4195416,4172997,4152419,4132721,4112868,4092149,4070200,4046840,4021850,3994985,3965926,3934249,3899849,3863201,3824961,3785502,3744857,3703083,3660649,3618159,3576029,3534422
20 a 24,626898,610377,734715,739501,1066764,1404869,1930300,2972174,3738128,4538686,4303600,4253440,4813204,4863039,4813786,4811243,4766367,4685961,4566442,4414660,4271810,4165973,4091843,4042716,4007064,3976954,3950303,3925787,3903232,3882668,3863803,3845753,3827554,3808546,3788385,3766899,3743888,3719123,3692313,3663057,3631252,3597344,3561943,3525399,3487740
25 a 29,698715,546570,687269,752210,981575,1195988,1575414,2325060,3050595,3652995,3861482,3805724,4205975,4550349,4584848,4570964,4553467,4536357,4532260,4546818,4546109,4505648,4431526,4319908,4176836,4041655,3941476,3871354,3825070,3791738,3763694,3738863,3716043,3695066,3675959,3658451,3641710,3624830,3607184,3588434,3568411,3546930,3523783,3498699,3471289
30 a 34,419790,467785,542978,634103,699287,1009105,1285461,1885628,2578736,3152462,3383356,3745974,4026031,4217892,4373323,4396319,4412057,4419481,4419783,4413315,4401564,4386336,4371473,4369062,4384530,4385388,4348069,4278180,4171696,4034156,3903831,3807289,3739800,3695442,3663716,3637106,3613544,3591908,3572038,3553960,3537417,3521610,3505663,3488970,3471197
35 a 39,534140,445509,500587,670663,748361,959140,1235283,1664573,2210565,2804296,3023328,3371372,3964738,3990233,4104263,4137170,4170877,4203561,4233082,4260032,4283499,4300033,4308590,4310300,4305454,4295461,4282068,4269014,4268065,4284513,4286715,4251645,4184616,4081531,3947652,3820595,3726557,3660933,3617980,3587443,3561896,3539283,3518544,3499519,3482237
40 a 44,270086,342524,380027,449853,587188,674307,959477,1359706,1705013,2173041,2494771,2871549,3350322,3816052,3897656,3909836,3928970,3954389,3984342,4016483,4049764,4083732,4116664,4146522,4173936,4198038,4215447,4225124,4228149,4224778,4216367,4204612,4193173,4193589,4211061,4214504,4181246,4116445,4016003,3885053,3760678,3668750,3604743,3563040,3533569
45 a 49,335209,267530,313708,362664,534698,610482,829719,1134689,1452573,1763505,1957177,2388149,2824364,3427654,3718014,3751951,3774199,3787846,3797098,3806337,3819923,3840239,3866620,3897334,3930085,3963859,3998245,4031588,4061935,4089939,4114777,4133134,4143974,4148332,4146436,4139603,4129486,4119660,4121467,4140026,4144717,4113199,4050520,3952663,3824694
50 a 54,148456,218789,254878,284332,405259,527328,589789,912884,1161875,1418508,1624033,1959720,2402451,2921885,3315341,3382647,3446805,3506058,3559639,3605475,3640224,3663665,3678774,3689625,3700457,3715493,3737030,3764403,3795911,3829317,3863650,3898532,3932367,3963289,3991972,4017630,4037032,4049147,4054958,4054677,4049587,4041280,4033239,4036590,4056347
55 a 59,225986,140690,163088,205531,261308,405202,501529,732503,918864,1083293,1234072,1497981,1869537,2332855,2792756,2877224,2958351,3036277,3110063,3179331,3245935,3309588,3368594,3422201,3468405,3503989,3528732,3545485,3558157,3570820,3587518,3610447,3638941,3671345,3705484,3740437,3775865,3810250,3841820,3871270,3897875,3918500,3932119,3939661,3941318
60 a 64,88954,157561,184768,204753,265194,371989,451069,541862,769917,929650,1045404,1243788,1476667,1743433,2185552,2277452,2368543,2457536,2543863,2628150,2710006,2788810,2864676,2936705,3004550,3069982,3132718,3191137,3244500,3290892,3327271,3353411,3372014,3386776,3401551,3420169,3444676,3474409,3507767,3542664,3578250,3614236,3649197,3681481,3711797
65 a 69,88640,70851,90013,111189,164750,203454,345379,417298,567641,674004,779666,922592,1095273,1279219,1580693,1656403,1736711,1820800,1906666,1992754,2078835,2164367,2248165,2329688,2409499,2487213,2562245,2634691,2703693,2768951,2832120,2892924,2949840,3002137,3048035,3084727,3111999,3132344,3149193,3166110,3186624,3212597,3243367,3277418,3312808
70 a 74,30727,54820,69849,78953,113574,161288,242008,339002,394031,521069,589106,703277,873893,911426,1102802,1149119,1198517,1251639,1309640,1372894,1440735,1512708,1588123,1665268,1742804,1820525,1897964,1974081,2048381,2121357,2192644,2261720,2328650,2392643,2453458,2512589,2569768,2623600,2673387,2717519,2753512,2781183,2802764,2821321,2840032
75 a 79,34623,26360,36189,43906,62748,91153,119570,228660,277835,317553,411197,490840,579689,608186,729719,757971,788020,820114,854448,891188,930324,972092,1017039,1066135,1119692,1177136,1238092,1302020,1367556,1433620,1500029,1566410,1631905,1696097,1759389,1821464,1881876,1940662,1997128,2051100,2103856,2155145,2203752,2249022,2289580
80 a 84,8847,22404,28265,29063,41065,57847,80738,132494,179820,193923,217330,296351,355277,366319,440156,457227,475129,493897,513613,534393,556398,579830,604880,631697,660412,691029,723740,758974,797494,839532,884636,932521,982808,1034496,1086788,1139537,1192472,1244942,1296619,1347815,1398274,1447646,1495945,1542600,1587501
85 a 89,7503,6756,8963,11509,30466,23677,71470,49002,99299,112158,125041,150617,197461,190845,230023,239161,248808,258968,269657,280904,292735,305172,318241,331997,346529,361953,378405,396019,414895,435135,456745,479868,504814,532122,561954,593981,628018,663825,700763,738303,776341,814702,852949,890849,928624
90 a 94,2053,4106,4983,5128,,13030,,21800,38021,44789,50843,54391,68130,80301,96724,100760,105011,109491,114216,119210,124497,130093,136002,142236,148817,155762,163083,170802,178954,187592,196789,206625,217179,228512,240688,253713,267688,282801,299384,317536,337042,357801,379697,402382,425575
